latitude,longitude,id,name,old_name,addr:housenumber,addr:street,siruta
44.9558057,25.9998658,1274496907,SCOALA NR 8 GRIGORE MOISIL,,2A,Strada Laurilor,130543
44.9548813,25.9990976,1274496908,SCOALA NR 25 HM BERTHELOT,,2,Strada Arinului,130543
45.3425683,24.2397487,1291394488,,,,,167801
47.225883,27.5912225,1295270856,,,,,95765
44.3678329,24.2573732,1297035927,LICEUL PIATRA OLT,,,,128114
45.1088229,24.3640031,1300134489,,,,,167482
45.1064796,24.3640008,1300134506,SCOALA TAKE IONESCU,,,,167482
45.1490998,24.3710194,1300134510,SCOALA BUJORENI,,,,168915
44.4191395,26.380549,1304500571,SCOALA NR 205,,,,0
47.1467689,27.5291799,1312201676,SCOALA CONSTANTINTIN LANGA,,,,97928
43.7521322,24.8720272,1315018258,SCOALA MIRCEA CEL BATRAN,,,,151692
43.7441959,24.8686154,1315026343,COLEGIUL NATIONAL UNIREA,,25,Castanilor,151692
44.9333864,26.473742,1324022951,,,,,0
45.973324,24.3718331,1341255445,SCOALA GENERALA,,,,0
45.921898,24.3731045,1341255467,SCOALA NR 9,,,,0
44.9262821,25.466985,1356400701,SCOALA IOAN ALEXANDRU BRATESCU VOINESTI,,,,65351
43.8018166,24.842288,1364956780,LICEUL TEORETIC CONSTANTIN BRANCOVEANU,,4,Strada Marin Preda,
43.7979417,24.1082429,1365142315,SCOALA NR 4,,,,72016
45.1187974,25.7362186,1395796200,SALA DE SPORT LICEUL ENERGETIC,,,,131265
45.2544291,21.4150116,1395849327,,,,,157371
46.778324,23.577204,1396367388,LICEUL TEOLOGIC EMANUEL,,,,54984
47.6250277,26.2919029,1404437431,SCOALA GENERALA IPOTESTI,,,,146290
44.140958,22.9287688,1437183191,,,,,113509
45.1085647,24.3610949,1439234412,COLEGIUL NATIONAL MIRCEA CEL BATRAN,,,,167482
45.1113989,24.3673769,1440580309,SCOALA GIMNAZIALA I GHEORGHE DUCA,,,,167482
45.7180986,22.8833245,1454193276,SCOALA GENERALA TELIUCU INFERIOR,,1,Strada Zoriilor,86945
44.8867949,26.5089746,1471087204,SCOALA GENERALA GRADISTEA,,,,132397
47.1263248,24.4926003,1474247353,CSEI NR 1,,20 bis,Strada Alba Iulia,32401
44.8640135,24.8654533,1495075114,CENTRU EDUCATIONAL,,,,13178
44.8535338,24.8742658,1495075286,COLEGIUL NATIONAL ZINCA GOLESCU,,,,13178
44.8697217,24.8600651,1495075334,UNIVERSITATEA CONSTANTIN BRANCOVEANU,,,,13178
44.8372245,24.9027158,1495075442,,,,,13178
44.8556942,24.8644077,1495075471,SCOALA DE LIMBI STRAINE LEXIS,,,,13178
44.8326007,24.9098367,1495075549,SCOALA GENERALA NR 18,,,,13178
44.8690242,24.8605675,1495075575,SCOALA NR 14,,,,13178
44.829079,24.9146264,1495075605,,,,,13178
44.8633027,24.8734993,1495075706,SCOALA GENERALA I VIII MARIN PREDA,,,,13178
44.83153,24.9098367,1495076059,COLEGIUL TEHNIC COSTIN D NENITESCU,,,,13178
44.8723764,24.8395987,1495076116,SCOALA NR 15 ADRIAN PAUNESCU,,,,13178
44.3041959,23.7977871,1544372507,SCOALA NR 18,,162,Calea Unirii,69919
46.2403913,24.8100059,1564332108,SCOALA GENERALA DEALUL VIILOR CLASELE I VIII,,,,114523
45.8659519,25.8067288,1566920167,,,,,63401
44.9866781,26.2341534,1584417674,LICEUL TEORETIC BRANCOVEANU VODA URLATI,,,,131639
44.9883627,26.2340676,1584417714,,,,,131639
44.4275012,26.1172609,1585220372,,,,,179169
47.1500293,27.5227678,1591444634,GRUP SCOLAR AGRICOL M KOGALNICEANU,,,,97928
45.8210975,24.9672227,1615566083,SCOALA GENERALA NR 3,,,,40287
