COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,osm,roaep,safe,str,wikidata
14007947,3961100423,,1124126,174744,174753,3961100423,VRANCEA,45.6987574082588,27.192697135201,8,"SCOALA GIMNAZIALA ""ANGHEL SALIGNY"" FOCSANI",SCOALA GENERALA ANGHEL SALIGNY FOCSANI,FOCŞANI,,"ȘCOALA GIMNAZIALĂ ""ANGHEL SALIGNY""",88,Moldova,
,2062102034,2061100552,,89080,89115,2062102034,HUNEDOARA,45.9815232559455,22.4756408032095,,ŞCOALA PRIMARĂ GLODGHILEŞTI,SCOALA PRIMARA GLODGHILESTI,GLODGHILEŞTI,,ȘCOALA PRIMARA GLODGHILEȘTI,100,,
,0962102817,0961102437,406254,42968,42977,0962102817,BRĂILA,,,90,GRĂDINIŢA CU PROGRAM NORMAL CIOCILE,GRADINITA CU PROGRAM NORMAL CIOCILE,CIOCILE,,0,0,PRINCIPALA,
,3762105476,3761104267,,166315,166324,3762105476,VASLUI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, SAT TĂTĂRĂNI",GRADINITA CU PROGRAM NORMAL SAT TATARANI,TĂTĂRĂNI,,0,0,,
17187273,1661106122,,481761,70316,70325,1661106122,DOLJ,,,,"SCOALA GIMNAZIALA ""AMZA PELLEA"" BAILESTI",SCOALA GENERALA AMZA PELLEA BAILESTI,BĂILEŞTI,,0,0,,
,3462102871,3461101332,,153696,153730,3462102871,TELEORMAN,,,121,GRĂDINIȚA CU PROGRAM NORMAL NR. 4 CĂTUNU,GRADINITA CU PROGRAM NORMAL NR 4 CATUNU,CĂTUNU,,0,0,ȘOS. PITEȘTI,
23104574,0461104962,,346038,22576,22585,0461104962,BACĂU,46.7412600254335,26.8849995394963,,SCOALA GIMNAZIALA FILIPESTI,SCOALA GENERALA FILIPESTI,FILIPEŞTI,,ȘCOALA FILIPEȘTI,78,,
29373628,0361100141,,966152,13169,13178,0361100141,ARGEŞ,44.8678263,24.86298875,10,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU DAVILA"" PITEȘTI",SCOALA GENERALA ALEXANDRU DAVILA PITESTI,PITEŞTI,136273416,0,0,FĂGĂRAȘ,
29028255,2661108447,,603199,116395,116420,2661108447,MUREŞ,46.4162273142652,24.2448021288236,53,ȘCOALA GIMNAZIALĂ ȘEULIA DE MUREȘ,SCOALA GENERALA SEULIA DE MURES,ŞEULIA DE MUREŞ,,ȘCOALA GIMNAZIALĂ ȘEULIA DE MUREȘ,100,PRINCIPALA,
19221940,3761104516,,1118713,161794,161801,3761104516,VASLUI,,,,"ȘCOALA GIMNAZIALĂ ""STROE S. BELLOESCU"", MUN. BÂRLAD",SCOALA GENERALA STROE S BELLOESCU MUN BARLAD,BÂRLAD,,0,0,,
