COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,osm,str,wikidata
,3362101225,3361103227,,149753,149762,3362101225,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL PALTINOASA,GRADINITA CU PROGRAM NORMAL PALTINOASA,PĂLTINOASA,,,
,1062103214,1061104165,,48325,48414,1062103214,BUZĂU,,,,GRĂDINIŢA CU PROGRAM NORMAL SAT MUSCEL ORAŞ PĂTÂRLAGELE,GRADINITA CU PROGRAM NORMAL SAT MUSCEL ORAS PATARLAGELE,MUŞCEL,,,
,1662100188,1661101854,,74411,74475,1662100188,DOLJ,,,,SCOALA PRIMARA TARTAL,SCOALA PRIMARA TARTAL,ŢĂRŢĂL,,,
,0162104478,0161103111,,3039,3164,0162104478,ALBA,,,,GRADINITA CU PROGRAM NORMAL GIRDE,GRADINITA CU PROGRAM NORMAL GIRDE,GÂRDE,,,
,3762102898,3761104602,,164393,164446,3762102898,VASLUI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, SAT BUSCATA",GRADINITA CU PROGRAM NORMAL SAT BUSCATA,BUSCATA,,,
,1662101596,1661104346,,72506,72515,1662101596,DOLJ,,,,GRADINITA CU PROGRAM NORMAL GIUBEGA,GRADINITA CU PROGRAM NORMAL GIUBEGA,GIUBEGA,,,
23141440,0461108003,,351916,26029,26038,0461108003,BACĂU,,,,SCOALA GIMNAZIALA URECHESTI,SCOALA GIMNAZIALA URECHESTI,URECHEŞTI,,,
,2862103647,2861100739,,125542,125551,2862103647,OLT,,,,"SCOALA GIMNAZIALA ""DUMITRU BUZDUN"" CORABIA",SCOALA GIMNAZIALA DUMITRU BUZDUN CORABIA,CORABIA,,,
,2462103662,2461100157,,108473,108482,2462103662,MARAMUREŞ,,,,SCOALA GIMNAZIALA NR. 3 POIENILE DE SUB MUNTE,SCOALA GIMNAZIALA NR 3 POIENILE DE SUB MUNTE,POIENILE DE SUB MUNTE,,CVASNITA,
14007947,3961100423,,1124126,174744,174753,3961100423,VRANCEA,,,8,"SCOALA GIMNAZIALA ""ANGHEL SALIGNY"" FOCSANI",SCOALA GIMNAZIALA ANGHEL SALIGNY FOCSANI,FOCŞANI,,Moldova,
,3462101888,3461101246,,154852,154898,3462101888,TELEORMAN,,,,GRĂDINIȚA CU PROGRAM NORMAL NR. 2 DULCEANCA,GRADINITA CU PROGRAM NORMAL NR 2 DULCEANCA,DULCEANCA,,,
,2062102034,2061100552,,89080,89115,2062102034,HUNEDOARA,,,,ŞCOALA PRIMARĂ GLODGHILEŞTI,SCOALA PRIMARA GLODGHILESTI,GLODGHILEŞTI,,,
,0962102817,0961102437,406254,42968,42977,0962102817,BRĂILA,,,90,GRĂDINIŢA CU PROGRAM NORMAL CIOCILE,GRADINITA CU PROGRAM NORMAL CIOCILE,CIOCILE,,PRINCIPALA,
,3762105476,3761104267,,166315,166324,3762105476,VASLUI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, SAT TĂTĂRĂNI",GRADINITA CU PROGRAM NORMAL SAT TATARANI,TĂTĂRĂNI,,,
17187273,1661106122,,481761,70316,70325,1661106122,DOLJ,,,,"SCOALA GIMNAZIALA ""AMZA PELLEA"" BAILESTI",SCOALA GIMNAZIALA AMZA PELLEA BAILESTI,BĂILEŞTI,,,
,3462102871,3461101332,,153696,153730,3462102871,TELEORMAN,,,121,GRĂDINIȚA CU PROGRAM NORMAL NR. 4 CĂTUNU,GRADINITA CU PROGRAM NORMAL NR 4 CATUNU,CĂTUNU,,ȘOS. PITEȘTI,
23104574,0461104962,,346038,22576,22585,0461104962,BACĂU,,,,SCOALA GIMNAZIALA FILIPESTI,SCOALA GIMNAZIALA FILIPESTI,FILIPEŞTI,,,
,0162105303,0161102259,,4482,4516,0162105303,ALBA,,,86,SCOALA PRIMARA RECIU,SCOALA PRIMARA RECIU,RECIU,,PRINCIPALA,
29373628,0361100141,,966152,13169,13178,0361100141,ARGEŞ,44.8678263,24.86298875,10,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU DAVILA"" PITEȘTI",SCOALA GIMNAZIALA ALEXANDRU DAVILA PITESTI,PITEŞTI,136273416,FĂGĂRAȘ,
29028255,2661108447,,603199,116395,116420,2661108447,MUREŞ,,,53,ȘCOALA GIMNAZIALĂ ȘEULIA DE MUREȘ,SCOALA GIMNAZIALA SEULIA DE MURES,ŞEULIA DE MUREŞ,,PRINCIPALA,
19221940,3761104516,,1118713,161794,161801,3761104516,VASLUI,,,,"ȘCOALA GIMNAZIALĂ ""STROE S. BELLOESCU"", MUN. BÂRLAD",SCOALA GIMNAZIALA STROE S BELLOESCU MUN BARLAD,BÂRLAD,,,
,3362102556,3361102841,,146860,146879,3362102556,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL NR. 2 ARBORE,GRADINITA CU PROGRAM NORMAL NR 2 ARBORE,ARBORE,,,
123,3761104846,,728456,167222,162103,3761104846,VASLUI,,,,"ȘCOALA GIMNAZIALĂ NR. 1, SAT IBĂNEȘTI",SCOALA GIMNAZIALA NR 1 SAT IBANESTI,IBĂNEŞTI,,,
,0562102217,0561108327,364286,31654,31707,0562102217,BIHOR,,,75,ȘCOALA PRIMARĂ NR.1 POIANA,SCOALA PRIMARA NR 1 POIANA,POIANA,,,
,0462100456,0461108075,,20563,20572,0462100456,BACĂU,,,,GRADINITA CU PROGRAM PRELUNGIT NR 8 ONESTI,GRADINITA CU PROGRAM PRELUNGIT NR 8 ONESTI,ONEŞTI,,CAUCIUCULUI NR 1,
,0562107335,0561101261,1193749,31716,31770,0562107335,BIHOR,,,165,GRĂDINIŢA CU PROGRAM NORMAL NR. 4 UILEACU DE CRIŞ,GRADINITA CU PROGRAM NORMAL NR 4 UILEACU DE CRIS,UILEACU DE CRIŞ,,PRINCIPALA,
,0462102295,0461105054,,22380,22415,0462102295,BACĂU,,,,GRADINITA CU PROGRAM NORMAL CUCUIETI,GRADINITA CU PROGRAM NORMAL CUCUIETI,CUCUIEŢI,,,
29112061,1761100802,,492655,75098,75105,1761100802,GALAŢI,,,12,"GRADINITA CU PROGRAM NORMAL ""IOAN NENITESCU"", LOCALITATEA GALATI",GRADINITA CU PROGRAM NORMAL IOAN NENITESCU LOCALITATEA GALATI,GALAŢI,,ION NENITESCU,
,0162102146,0161102508,,1017,1026,0162102146,ALBA,,,27,GRADINITA CU PROGRAM PRELUNGIT NR. 2 ALBA IULIA,GRADINITA CU PROGRAM PRELUNGIT NR 2 ALBA IULIA,ALBA IULIA,,TRAIAN,
,0462102743,0461108378,,22898,22914,0462102743,BACĂU,,,,GRADINITA CU PROGRAM NORMAL BRATILA,GRADINITA CU PROGRAM NORMAL BRATILA,BRĂTILA,,,
5054842,4081103492,,1146576,179132,179150,4081103492,MUNICIPIUL BUCUREŞTI,,,07.sep,Clubul Sportiv Școlar ”Dinamo”,CLUBUL SPORTIV SCOLAR DINAMO,BUCUREŞTI SECTORUL 2,,Ştefan cel Mare,
18004692,1261100036,,120439603,58311,58320,1261100036,CLUJ,,,124,"ȘCOALA GIMNAZIALĂ LUNA, COM. LUNA",SCOALA GIMNAZIALA LUNA COM LUNA,LUNA,,,
29323450,1361100093,,130451730,60419,60428,1361100093,CONSTANŢA,44.18982155,28.6384791650064,13,ȘCOALA GIMNAZIALĂ NR. 30 ’GHEORGHE ŢIŢEICA’ CONSTANŢA,SCOALA GIMNAZIALA NR 30 GHEORGHE TITEICA CONSTANTA,CONSTANŢA,135671585,Flămânda,
,1362103847,1361100107,,61737,61773,1362103847,CONSTANŢA,,,,GRĂDINIŢA CU PROGRAM NORMAL LESPEZI,GRADINITA CU PROGRAM NORMAL LESPEZI,LESPEZI,,,
31478537,1261202167,,124530326,54975,54984,1261202167,CLUJ,,,3,"ȘCOALA GIMNAZIALĂ ""CHRISTIANA"" CLUJ-NAPOCA",SCOALA GIMNAZIALA CHRISTIANA CLUJ NAPOCA,CLUJ-NAPOCA,,Moldoveanu,
,2662102441,2661105195,,115771,115815,2662102441,MUREŞ,,,17,GRĂDINIȚA CU PROGRAM NORMAL OZD,GRADINITA CU PROGRAM NORMAL OZD,OZD,,PRINCIPALĂ,
31312886,4061207222,,,179132,179169,4061207222,MUNICIPIUL BUCUREŞTI,,,26,"Şcoala Primară ""Castelul Fermecat Olimpia""",SCOALA PRIMARA CASTELUL FERMECAT OLIMPIA,BUCUREŞTI SECTORUL 3,,Mureşana,
5120750,1261103993,,121315531,54975,54984,1261103993,CLUJ,46.7673208,23.597823962049,2,"LICEUL DE COREGRAFIE ȘI ARTĂ DRAMATICĂ ""OCTAVIAN STROIA"" CLUJ-NAPOCA",LICEUL DE COREGRAFIE SI ARTA DRAMATICA OCTAVIAN STROIA CLUJ NAPOCA,CLUJ-NAPOCA,237518108,Turzii,
5026770,5261101375,,1323980,100521,100530,5261101375,GIURGIU,,,,COLEGIUL TEHNIC ’VICEAMIRAL IOAN BALANESCU’,COLEGIUL TEHNIC VICEAMIRAL IOAN BALANESCU,GIURGIU,,STR.UZINEI NR.30,
,1062103381,1061104206,,48227,48236,1062103381,BUZĂU,,,,GRĂDINIŢA CU PROGRAM NORMAL COMUNA PĂNĂTĂU,GRADINITA CU PROGRAM NORMAL COMUNA PANATAU,PĂNĂTĂU,,,
,3862103102,3861105262,,168755,168773,3862103102,VÂLCEA,,,,SCOALA PRIMARA BUMBUESTI,SCOALA PRIMARA BUMBUESTI,BUMBUEŞTI,,,
,1662101049,1661101913,,73736,73763,1662101049,DOLJ,,,,SCOALA GIMNAZIALA TUNARII VECHI,SCOALA GIMNAZIALA TUNARII VECHI,TUNARII VECHI,,,
,3262103518,3261102146,320674459,144376,144394,3262103518,SIBIU,,,48,GRADINITA CU PROGRAM NORMAL RETIS,GRADINITA CU PROGRAM NORMAL RETIS,RETIŞ,,,
,0762102259,0761105131,,35731,35740,0762102259,BOTOŞANI,,,26,GRADINITA CU PROGRAM NORMAL NR 1 BOTOSANI,GRADINITA CU PROGRAM NORMAL NR 1 BOTOSANI,BOTOŞANI,,ION PILLAT,
,1962105044,1961104319,,84264,84291,1962105044,HARGHITA,,,96,GRĂDINIȚA NR 4 SÂNCRAI,GRADINITA NR 4 SANCRAI,SÂNCRAI,,SÂNCRAI,
,1862104058,1861105787,,78828,78837,1862104058,GORJ,,,,GRADINITA CU PROGRAM NORMAL BARBATESTI,GRADINITA CU PROGRAM NORMAL BARBATESTI,BĂRBĂTEŞTI,,,
,2662103098,2661105304,,118575,118628,2662103098,MUREŞ,,,88,GRĂDINIȚA CU PROGRAM NORMAL VAIDEIU,GRADINITA CU PROGRAM NORMAL VAIDEIU,VAIDEIU,,PRINCIPALA,
,0662102957,0661103601,371722,32483,32492,0662102957,BISTRIŢA-NĂSĂUD,,,6,"GRĂDINIȚA CU PROGRAM NORMAL ""1 IUNIE"" BECLEAN",GRADINITA CU PROGRAM NORMAL 1 IUNIE BECLEAN,BECLEAN,,Șieului,
29169165,3561100949,,35714053,158608,158617,3561100949,TIMIŞ,,,71,SCOALA PRIMARA COM.SECAS,SCOALA PRIMARA COM SECAS,SECAŞ,,,
