lat,lon,altitude,geometry,,id,amenity,name,created_by,old_name,addr:housenumber,addr:street,int_name,ele,fixme,name:de,addr:city,addr:postcode,is_in:city,is_in:country,is_in:county,operator,phone,note,addr:housename,addr:postcode:source,wheelchair,is_in:country_code,local:picture,source:name,name:ro,addr:country,alt_name,website,name:en,source,building,toilets:wheelchair,description,name:hu,historic,addr:county,email,designation,name:,source:amenity,contact:phone,office,opening_hours,name:am,working
45.278774,23.2785808,,Point,node/448885386,school,COLEGIUL NATIONAL SPIRU HARET,,Liceul Pedagogic,106,Strada 1 Decembrie 1918,,,,,Târgu Jiu,210243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.4156916,26.1325447,,Point,node/450519601,school,SCOALA GENERALA NR 84,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,
44.4209323,26.1359807,,Point,node/450520679,school,SCOALA NR 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.4554742,26.835205,,Point,node/453483958,school,SCOALA GENERALA NR 11 ION HELIADE RADULESCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.1546179,27.6646075,,Point,node/457460290,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.4089586,26.693249,,Point,node/457853794,school,LICEUL DIMITRIE BOLINTINEANU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.4813086,26.986356,,Point,node/458227057,school,SCOALA GENERALA NR 12,,,27,Strada Borsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.14545,27.5779173,,Point,node/461611335,school,SCOALA VASILE CONTA ,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.1688239,27.5937811,,Point,node/469791806,school,GRUP SCOLAR DE ARTE SI MESERII SPIRU HARET,,,12 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.6608976,23.6988415,,Point,node/469928963,school,GRUPUL SCOLAR INDUSTRIAL DE TRANSPORTURI AUTO BAIA SPRIE,,,,,,,,,,,,,,,,,,,,,,,Grupul Scolar Industrial de Transporturi Auto Baia Sprie,,,,,,,,,,,,,,,,,,,,,
47.6623184,23.700206,,Point,node/469936787,school,SCOALA GENERALA NR 1,,,,,,,,,,,,,,,,,,,,,,,Scoala Generala Numarul 1,,,,,,,,,,,,,,,,,,,,,
47.6630237,23.6871168,,Point,node/469936794,school,SCOALA GENERALA NR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.9670845,21.4792248,,Point,node/472356539,school,SCOALA GENERALA I VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.3406977,21.3077854,,Point,node/472379247,school,GRUPUL SCOLAR ION CREANGA CLADIREA 1,,,,Strada Revolutiei,,,,,Curtici,,,,,,,,,,,,,,,RO,,,,,,,,,,,,,,,,,,,,
46.3402855,21.308525,,Point,node/472411670,school,GRUPUL SCOLAR ION CREANGA CLADIREA 2,,,,Strada Revolutiei,,,,,Curtici,315200,,,,,,,,,,,,,,RO,,,,,,,,,,,,,,,,,,,,
46.3852907,21.3123688,,Point,node/474771300,school,SCOALA MACEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.1977161,27.3317722,,Point,node/474982133,school,COLEGIUL NATIONAL BARBU STIRBEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.919522,26.354546,,Point,node/475528153,school,SCOALA GENERALA MIHAI EMINESCU,,,,Strada Barcanesti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.9367232,26.25201,,Point,node/475847078,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.9407528,25.9924346,,Point,node/475876963,school,LICEUL ENERGETIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.8614625,25.7758602,,Point,node/477357858,school,SCOALA GENERALA VARADI JOZSEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.3477792,25.3566936,,Point,node/479886940,school,LICEUL TEORETIC ION LUCA,,,24,Strada Mihai Eminescu,,,,,Vatra Dornei,725700,,,,,,,,"Date de la Posta Româna, publicate sub Licenta pentru Guvernare Deschisa v10 la http://dategovro/organization/posta romana",,,,,,,,,,,,,,,,,,,,,,,,,,
47.3422084,25.3622127,,Point,node/479896872,school,SCOALA GENERALA,,,58,Strada Unirii,,,,,Vatra Dornei,725700,,,,,,,,"Date de la Posta Româna, publicate sub Licenta pentru Guvernare Deschisa v10 la http://dategovro/organization/posta romana",,,,,,,,,,,,,,,,,,,,,,,,,,
47.348995,25.3669904,,Point,node/479921603,school,SCOALA GENERALA NR 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.3454892,25.3485408,,Point,node/479921614,school,SCOALA GENERALA NR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.3474136,25.3522116,,Point,node/479921626,school,SCOALA GENERALA NR 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
